"number","title","pageid","namespace","length","touched"
"209","Sextans","28154","","18315","20260324160154"
"210","List_of_brightest_stars","28161","","39243","20260316094501"
"211","List_of_nearest_stars","28162","","121167","20260323195709"
"212","Sagitta","28163","","43540","20260305024639"
"213","Star_catalogue","28232","","49666","20260217230733"
"214","Stellar_designations_and_names","28233","","18083","20260216010704"
"215","String_theory","28305","","125443","20260327173154"
"216","Space_exploration","28431","","87254","20260328112514"
"217","Outline_of_space_science","28434","","11283","20260204031043"
"218","Solstice","28483","","36116","20251231125952"
"219","Spacecraft_propulsion","28506","","96493","20260126024439"
"220","Star_cluster","28603","","25302","20260329002941"
"221","Stellar_classification","28927","","110283","20260213191234"
"222","SN_1987A","28930","","49909","20260223011618"
"223","Space_telescope","29006","","10278","20260131183433"
"224","Space_elevator","29192","","94021","20260321145013"
"225","Lists_of_stars","29240","","6626","20260103211212"
"226","Space_colonization","29248","","185874","20260320191110"
"227","Spica","29409","","27577","20260310171719"
"228","Statite","29417","","4066","20260129035758"
"229","Solar_sail","29420","","102784","20260328172706"
"230","Sextant","29588","","22461","20260219182714"
"231","Taurus_(constellation)","29984","","40655","20260305023243"
"232","Tycho_Brahe","30027","","101518","20260318184058"
"233","Terry_Pratchett","30029","","113159","20260311210706"
"234","Trans-Neptunian_object","30549","","55625","20260227164817"
"235","Theogony","30551","","73483","20260216203046"
"236","Theoretical_astrophysics","30634","","212","20170605052546"
"237","Torino_scale","30656","","22757","20251226162308"
"238","Triangulum","30659","","26928","20260301184922"
"239","Tucana","30660","","39642","20260317192406"
"240","Triangulum_Australe","30662","","34703","20260305024745"
"241","Telescopium","30664","","39770","20260304082502"
"242","Tunguska_event","30669","","79902","20260322054034"
"243","Tidal_force","30719","","24565","20260220142547"
"244","Teleological_argument","30731","","119614","20260324045303"
"245","Titius–Bode_law","30745","","42210","20260327211100"
"246","Terrestrial_Time","31016","","17448","20250920174723"
"247","Thuban","31180","","15533","20260201163419"
"248","Tachyon","31296","","31065","20260321160116"
"249","Tau_Ceti","31307","","65727","20260324093312"
"250","Twin_paradox","31429","","67776","20260227070550"
"251","The_Fountains_of_Paradise","31435","","8357","20260108014917"
"252","Ursa_Major","31772","","46632","20260318011733"
"253","Ursa_Minor","31773","","54974","20260301185027"
"254","Universe","31880","","144746","20260327162416"
"255","Virgo_(constellation)","32407","","19745","20260306030536"
"256","Vela_(constellation)","32568","","23407","20260310172031"
"257","Virial_theorem","32664","","45878","20260308203927"
"258","Vega","32712","","100126","20260318132706"
"259","Venus","32745","","206951","20260328184300"
"260","Variable-star_designation","32799","","13692","20251127221601"
"261","White_dwarf","33501","","157331","20260324182953"
"262","Wheel_of_the_Year","33653","","53269","20260202033225"
"263","Weakly_interacting_massive_particle","33721","","47742","20260309222836"
"264","WIYN_Consortium","33901","","1629","20251008201744"
"265","William_Herschel","33971","","80992","20260313193634"
"266","Wormhole","34043","","58530","20260316100111"
"267","Zodiac","34411","","67947","20260314155811"
"268","Zodiacal_light","34527","","22805","20260304033224"
"269","61_Cygni","36188","","52300","20260206032035"
"270","70_Virginis","36374","","12090","20260325210910"
"271","Maunder_Minimum","37053","","28259","20260125204953"
"272","Paradise_Lost","37373","","92541","20260328224320"
"273","Snowdonia","37729","","62039","20260323121913"
"274","Dual_mode_propulsion_rocket","37834","","1292","20260224161501"
"275","Bussard_ramjet","37853","","17998","20250903014847"
"276","Alcubierre_drive","37856","","46426","20260222141136"
"277","Julian_day","38007","","55149","20260211133923"
"278","Viking_program","38082","","45661","20260323181656"
"279","Pioneer_10","38198","","60501","20260118220818"
"280","Great_Barrier_Island","38361","","40838","20250910205725"
"281","Cosmos","38737","","38358","20260213204623"
"282","Jupiter","38930","","176328","20260316203944"
"283","Photosphere","38979","","8163","20260315095540"
"284","Cosmological_constant","38992","","53679","20251229034716"
"285","Hanford_Site","39038","","151360","20260322063654"
"286","Accelerating_expansion_of_the_universe","39136","","43512","20260126000733"
"287","Quintessence_(physics)","39137","","14450","20251215090546"
"288","Dyson's_eternal_intelligence","39140","","16342","20251219200143"
"289","Large_Magellanic_Cloud","39374","","36835","20260208153952"
"290","Space_suit","39375","","77883","20260321174531"
"291","Kepler's_Supernova","39663","","16821","20250924011545"
"292","Supernova_remnant","39666","","11481","20260322153304"
"293","Horoscope","39870","","35496","20260221123949"
"294","Hubble_Space_Telescope","40203","","227901","20260303153521"
"295","Space_technology","40375","","7881","20250602120829"
"296","Circular_polarization","40875","","40924","20260319160012"
"297","Cosmic_noise","40969","","7125","20250307003327"
"298","Radiometry","41625","","8065","20251220003552"
"299","Time_standard","41799","","26311","20260222123544"
"300","Universal_Time","41835","","22304","20260217120044"
"301","Chiron","42183","","38838","20260321123530"
"302","Cosmogony","42882","","14047","20260129212154"
"303","Hubble's_law","42975","","137765","20260319211007"
"304","Callisto_(moon)","43126","","81180","20260217022106"
"305","Europa_(moon)","43127","","144971","20260324171419"
"306","List_of_hypothetical_Solar_System_objects","43519","","20799","20260314205949"
"307","John_Herschel","43592","","45951","20260328123541"
"308","United_States_Naval_Observatory","43596","","38788","20260328123541"
"309","Charles_Yerkes","43810","","13744","20260211104223"
"310","Star_formation","43948","","54144","20260323033907"
"311","Galactic_astronomy","44057","","3976","20260126075812"
"312","Big_Bang_nucleosynthesis","44058","","38313","20260306122935"
"313","X-ray_astronomy","44062","","68160","20260318165520"
"314","Extragalactic_astronomy","44063","","6019","20251223171225"
"315","Vulcan_(hypothetical_planet)","44069","","23889","20260304081450"
"316","Black_body","44364","","48603","20251124220123"
"317","Brown_dwarf","44401","","169491","20260327200952"
"318","Pluto","44469","","171293","20260328012253"
"319","Saturn","44474","","117188","20260323233617"
"320","Uranus","44475","","165108","20260327103247"
"321","Dream","44785","","82186","20260109165323"
"322","Luminosity","44790","","24156","20260224170016"
"323","Hubble_sequence","45145","","28360","20251023213057"
"324","Halley's_Comet","46083","","123102","20260219215510"
"325","Xenu","46634","","66718","20251027195736"
"326","Radio_telescope","46656","","24735","20260114222210"
"327","Death_Valley_National_Park","46793","","74134","20260327123028"
"328","Scutum_(constellation)","46981","","16929","20260304082445"
"329","4_Vesta","47200","","106991","20260204023903"
"330","Asteroid_belt","47264","","86037","20260228133907"
"331","Aperture","47474","","40069","20260204054055"
"332","Azimuth","47487","","14556","20260211000335"
"333","Brightness_temperature","47501","","9609","20241102201336"
"334","Yarkovsky_effect","47625","","13716","20260325125126"
"335","Cosmic_ray","47687","","105412","20260324121451"
"336","Celestial_sphere","48239","","18698","20251001131719"
"337","Celestial_pole","48329","","10129","20260226080341"
"338","Astronomical_coordinate_systems","48381","","29215","20260216034203"
"339","Equatorial_coordinate_system","48384","","17215","20250320073728"
"340","Horizontal_coordinate_system","48386","","9162","20260326070614"
"341","Ecliptic_coordinate_system","48387","","15368","20260217153552"
"342","Galactic_coordinate_system","48389","","15052","20260307070320"
"343","Terrestrial_planet","48510","","37140","20260323175920"
"344","Quantum_suicide_and_immortality","48685","","29875","20251123060916"
"345","Philosophiæ_Naturalis_Principia_Mathematica","48781","","108234","20260324091237"
"346","Gamma-ray_burst","48803","","118360","20260319123956"
"347","Gravitational_lens","48824","","57490","20260223214016"
"348","Sidereal_time","48837","","19675","20260322041356"
"349","Hour_angle","48838","","7022","20251026103723"
"350","Nucleosynthesis","48903","","49384","20260304100401"
"351","Apparent_retrograde_motion","48908","","12530","20260327133209"
"352","Zenith","48909","","7324","20251009161830"
"353","Horizon","48910","","29371","20260112201831"
"354","Wolfram_Mathematica","49024","","23813","20260212160612"
"355","Phoenix_(constellation)","49123","","37879","20260301184552"
"356","The_Planets","49243","","48167","20260322160731"
"357","KStars","49326","","7253","20251214104600"
"358","Conjunction_(astronomy)","49434","","46376","20260302122529"
"359","Aurora","49658","","125560","20260323035502"
"360","Space_transport","50385","","63","20201115101210"
"361","Astronomy","50650","","91768","20260319215319"
"362","Space_station","50896","","52222","20260306212526"
"363","Giant-impact_hypothesis","51143","","63049","20260326095930"
"364","Hydrostatic_equilibrium","51776","","29916","20260323141115"
"365","Proper_motion","52015","","23387","20251113194729"
"366","Stellar_astronomy","52038","","195","20241121035937"
"367","Counter-Earth","52459","","19361","20260219002807"
"368","Binary_star","52713","","71484","20260316031012"
"369","Albireo","52747","","36293","20260116141926"
"370","Charon_(moon)","52838","","58311","20260325215042"
"371","Phobos_(moon)","52999","","75183","20260216050636"
"372","Natural_satellite","53306","","61137","20260325014740"
"373","Satellite_constellation","53351","","25857","20251116094124"
"374","Double_star","53603","","17032","20250617080151"
"375","Eclipsing_binary","53867","","420","20180429091753"
"376","Betelgeuse","53878","","183623","20260328232748"
"377","Creator_deity","54223","","50852","20260126214355"
"378","Gravitational_singularity","54244","","33075","20260221005114"
"379","Newton's_laws_of_motion","55212","","129164","20260205082911"
"380","High-energy_astronomy","55233","","2261","20250627173705"
"381","Compton_scattering","55236","","29483","20260208224941"
"382","Red_dwarf","56099","","50651","20260324213954"
"383","Starship","56163","","15399","20260218002038"
"384","Infrared_astronomy","56437","","23413","20260102161458"
"385","Pleiades","56568","","54418","20260320153041"
"386","New_General_Catalogue","56590","","13800","20260107170552"
"387","Sidereal_year","57484","","5154","20260221183541"
"388","Ulysses_(spacecraft)","57539","","41792","20251109223527"
"389","Timeline_of_gravitational_physics_and_relativity","58785","","179296","20260317041654"
"390","Timeline_of_black_hole_physics","58787","","25505","20260311225211"
"391","Timeline_of_Solar_System_astronomy","58930","","131982","20251223022816"
"392","Timeline_of_solar_astronomy","58931","","3824","20240410190154"
"393","Timeline_of_stellar_astronomy","58932","","6181","20220925130056"
"394","Timeline_of_white_dwarfs,_neutron_stars,_and_supernovae","58933","","6188","20260107154615"
"395","Timeline_of_knowledge_about_the_interstellar_and_intergalactic_medium","58934","","4295","20251225154400"
"396","Timeline_of_knowledge_about_galaxies,_clusters_of_galaxies,_and_large-scale_structure","58935","","32504","20260326104637"
"397","Timeline_of_cosmological_theories","58939","","88490","20260319234407"
"398","Galaxy_cluster","58950","","24004","20260226043004"
"399","Timeline_of_astronomical_maps,_catalogs,_and_surveys","58952","","10415","20260125103027"
"400","Timeline_of_telescopes,_observatories,_and_observing_technology","58953","","30299","20260324200936"
"401","Timeline_of_artificial_satellites_and_space_probes","58955","","81088","20251216100259"
"402","Van_Allen_radiation_belt","59953","","42489","20260325145152"
"403","Planetarium","60548","","36009","20260105111324"
"404","Orrery","60549","","30874","20260324021815"
"405","Castor_and_Pollux","60790","","43329","20260322190233"
"406","Firefly","60996","","43571","20260326114210"
"407","Roche_limit","61097","","16035","20260302074115"
"408","Gersonides","61626","","24987","20251222062704"
"409","H._A._Rey","62754","","16067","20260303063008"
"410","Variable_star","63025","","142949","20260131092349"
"411","Meteoroid","63793","","21004","20260310193057"
"412","Impact_event","63794","","122162","20260222192054"
"413","André-Louis_Danjon","64814","","8955","20260213033111"
"414","Völuspá","65627","","14370","20251005142944"
"415","Eclipse_cycle","66109","","80095","20260328163114"
"416","Saros_(astronomy)","66111","","26728","20260328163148"
"417","Beta_Carinae","66382","","11564","20260205204752"
"418","Light_curve","66675","","14048","20251118123802"
"419","Alfonso_X_of_Castile","66789","","36706","20260203180611"
"420","Deimos_(moon)","67668","","31031","20260314005525"
"421","Interstellar_medium","69453","","61084","20260321094625"
"422","Astrochemistry","71268","","32680","20260302141636"
"423","Exotic_matter","71478","","6597","20260317094913"
"424","Nisse_(folklore)","71485","","108537","20260125191310"
"425","Axial_precession","72576","","63787","20260322165800"
"426","Astrolabe","73664","","51853","20260302045418"
"427","Andromeda_Galaxy","74331","","124394","20260220004251"
"428","Ring_of_Brodgar","76305","","23154","20260313014519"
"429","Spaceflight","77178","","63714","20260225160525"
"430","Golden_Fleece","77335","","19580","20260216220950"
"431","Digital_elevation_model","78442","","33146","20260225034229"
"432","Geomorphology","78534","","55575","20260323030750"
"433","Ampelos","78713","","4202","20260204214740"
"434","Coronis_(mythology)","78989","","6497","20250908124231"
"435","Astraea","79017","","36403","20260211044025"
"436","Arcas","79199","","8618","20260310221208"
"437","Machu_Picchu","80019","","121410","20260327234603"
"438","3_Juno","80130","","26371","20260124112003"
"439","List_of_astronomers","80155","","147774","20251209193755"
"440","Nemean_lion","80959","","19340","20260127230313"
"441","Teotihuacan","81553","","109244","20260323192220"
"442","Timeline_of_Solar_System_exploration","81832","","184776","20260309145411"
"443","Proxima_Centauri","81887","","106767","20260306172501"
"444","Astrophysicist","82057","","186","20260302153352"
"445","Analemma","82379","","37461","20260318215355"
"446","Gnomon","82424","","11896","20260112070352"
"447","Hyades_(star_cluster)","82490","","44727","20260320124610"
"448","Hilaeira","82576","","6143","20260321143740"
"449","Menippe_and_Metioche","82657","","5282","20250912070249"
"450","Hoag's_Object","82687","","14370","20260216054517"
"451","List_of_protoplasts_in_religion","82710","","6270","20260326225413"
"452","Icarus","82721","","20217","20260220032640"
"453","Crab_Nebula","82780","","54080","20260325174249"
"454","Myrtilus","82815","","4941","20250911064908"
"455","Hamal","82859","","23336","20260304181205"
"456","Radio_astronomy","82961","","39277","20251224140640"
"457","Metamorphoses","83101","","57623","20260315120131"
"458","Geocentrism","83754","","77882","20260315121251"
"459","Space_Race","84237","","187546","20260316062228"
"460","Generation_ship","85620","","24167","20260129232317"
"461","Binoculars","86058","","101108","20260301124148"
"462","Cygnus_X-1","86061","","69790","20260323211621"
"463","International_Earth_Rotation_and_Reference_Systems_Service","86583","","6866","20260129013906"
"464","Ali_ibn_Isa_al-Asturlabi","86822","","2776","20250911170147"
"465","Christa_McAuliffe","87558","","42073","20260321135244"
"466","Methyl_radical","89221","","7659","20251109223116"
"467","Nemesis_(hypothetical_star)","89344","","29926","20260319011934"
"468","Ziemassvētki","89598","","9975","20260206060457"
"469","Jāņi","89600","","14919","20250622190557"
"470","Antikythera_mechanism","89732","","138144","20260329041218"
"471","Ring_Nebula","90117","","16309","20260129014348"
"472","Qʼuqʼumatz","90178","","21833","20250116160232"
"473","Viracocha","90838","","22425","20260127054820"
"474","Axial_tilt","91173","","33422","20260318122737"
"475","Sark","91609","","88091","20260313035257"
"476","Eta_Carinae","92385","","131413","20260228213640"
"477","Popol_Vuh","92556","","37899","20260316053101"
"478","Choctaw_mythology","92815","","25425","20260321135223"
"479","Muscogee_mythology","92821","","8993","20251115171310"
"480","Cherokee_spiritual_beliefs","92847","","23018","20260325080143"
"481","Hopi_mythology","92858","","18368","20260224193429"
"482","Diné_Bahaneʼ","93127","","98827","20260205193157"
"483","Alpha_Herculis","93702","","17288","20260209055831"
"484","Chinese_constellations","93821","","27513","20260106174259"
"485","Sally_Ride","94289","","90741","20260322011441"
"486","The_Dreaming","94623","","30663","20260325195845"
"487","Rangi_and_Papa","95460","","11319","20250905061739"
"488","Atea","95782","","3991","20240824184541"
"489","Kumulipo","96423","","16225","20251207170026"
"490","Ogdoad_(Gnosticism)","97094","","17255","20251213181141"
"491","Nun_(mythology)","97096","","8989","20251206210610"
"492","Ennead","97187","","12851","20260312065521"
"493","Seven_of_Nine","97368","","65176","20260224124449"
"494","Point_Pelee_National_Park","99226","","27257","20260314061751"
"495","Shape_of_the_universe","99293","","42173","20260326164057"
"496","Quarter_days","99801","","9009","20250501220735"
"497","Weyl's_postulate","100508","","3314","20241130232716"
"498","Ashlesha","100532","","2402","20260328153445"
"499","Bharani","100569","","2382","20260206021212"
"500","Terrestrial_Planet_Finder","101232","","9147","20251118235408"
"501","Celestial_mechanics","102182","","32297","20260226075904"
"502","Alan_Bean","102595","","34728","20260220171546"
"503","Cancer_(constellation)","105200","","27879","20260217094834"
"504","Space_weather","113496","","68551","20260327201409"
"505","Livingston,_Louisiana","115657","","21236","20260202035759"
"506","Magnetar","118570","","32051","20260320033301"
"507","Soft_gamma_repeater","118575","","6921","20250222041157"
"508","Kardashev_scale","140271","","147934","20260317045926"
"509","Aerobraking","140289","","21089","20251110151938"
"510","Messier_100","142339","","12720","20250829041338"
"511","Diurnal_motion","142348","","6774","20251027203851"
"512","Circumpolar_star","142352","","11277","20250325103657"
"513","HE_0107−5240","142757","","7408","20251125052019"
"514","Equatorial_bulge","143023","","15557","20251201225407"
"515","Solar_time","143047","","20484","20250830003629"
"516","Astrophotography","143115","","46340","20260323234932"
"517","Celestial_navigation","143335","","40985","20260226080257"
"518","Orbital_period","143696","","17487","20260122144606"
"519","Abraham_ibn_Ezra","143794","","24016","20260321193648"
"520","North_York_Moors","144073","","43700","20260325131906"
"521","Voyager_Golden_Record","144386","","36144","20260315114931"
"522","Comoving_and_proper_distances","144417","","20111","20260203140357"
"523","Degenerate_matter","144428","","22936","20260219133702"
"524","Observatory_of_Strasbourg","144433","","5966","20260225084904"
"525","Cosmos:_A_Personal_Voyage","146424","","35215","20260326135522"
"526","Earth_radius","146689","","44977","20260221231247"
"527","Maya_calendar","147476","","43025","20260325014748"
"528","Geomagnetic_storm","147685","","51588","20260327162230"
"529","Preliminary_Design_of_an_Experimental_World-Circling_Spaceship","147983","","1167","20251228103657"
"530","Almagest","148060","","48398","20260226191019"
"531","Fomalhaut","151651","","47705","20260318212900"
"532","Stellar_nucleosynthesis","152440","","38909","20260212235413"
"533","Sculptor_(constellation)","152710","","15778","20260305024722"
"534","Andromeda_(constellation)","153353","","50719","20251224084630"
"535","Research_Consortium_On_Nearby_Stars","153599","","6972","20230812203430"
"536","Celestial_equator","153681","","5224","20251230025639"
"537","First_point_of_Aries","153774","","6506","20250802030727"
