Intra Cluster Medium	3	7
Ion	6	6
Ionian Philosophers	2	5
Ionisation	4	7
Ionised Hydrogen	4	7
Isolated Galaxies	3	6
Jovian Planet	4	7
Jupiter Family Comets	3	7
Keplerian Disk	3	7
Kinetic Energy	7	6
Kormendy Relation	2	7
Kuiper Belt Objects	6	10
Last Quarter Moon	5	6
Late Type Galaxies	3	7
Leap Year	7	6
Length	5	5
Lepton	3	9
Light Year	5	7
Limiting Magnitude	3	7
Linearly Proportional	3	5
Local Flow	2	6
Local Noon	3	5
Long Baseline Array	2	6
Long Period Comets	3	7
Lookback Time	3	7
Loose Groups	3	6
Lovell 76M Telescope	2	6
Low Mass X-Ray Binaries	3	7
Lower Meridian	2	5
Luminosity Decline Rate Relation	2	7
Mach%27S Principle	3	7
Main Asteroid Belt	5	10
Main Sequence Lifetime	4	8
Masers	3	7
Meridian	4	7
Meridian Transit	3	6
Merlin	2	5
Metals	4	7
Meteor	3	5
Meteor Stream	3	6
Micrometeorite	3	6
Millisecond Pulsar	3	7
Moment of Inertia	5	5
Monolithic Collapse	2	7
Mopra Telescope	2	5
Morgan Keenan Luminosity Class	3	7
Morphological Peculiarities	2	6
Morphology Density Relation	3	7
Narrowband	3	5
Near Earth Asteroids	5	7
Newton%27S First Law of Motion	7	7
Newton%27S Second Law of Motion	7	7
Newton%27S Third Law of Motion	7	7
Ngc	3	7
Novae	4	7
Objective Lens	4	5
Orbit	4	9
Orbital Inclination	3	7
Origin of Spiral Arms	3	7
Orphan Afterglow	2	7
Oxygen	7	7
Parabola	5	5
Parkes 64 Metre Radio Telescope	3	7
Period	4	6
Period Derivative	2	6
Photodisintegration	3	7
Pierre Auger Observatory	3	7
Planck%27S Constant	6	8
Planck Energy	3	7
Planck Mass	3	7
Planck Temperature	3	7
Planetary Nebulae	2	9
Plutinos	3	7
Population Ii	3	8
Population Iii	3	8
Potentially Hazardous Asteroids	5	7
Power Spectrum	3	6
Pressure	6	5
Primordial Fireball	3	7
Projected Semi Major Axis	2	6
Proto Planetary Nebulae	3	7
Psr J0437 4715	2	6
Psr J1141 6545	2	6
Pulsar Characteristic Age	2	7
Pulsar Dispersion Measure	2	7
Pulsar Evolution	3	7
Pulsar Timing	3	7
Radiant	3	6
Radiant Flux Density	3	6
Radio Supernova	2	7
Real Image	4	5
Recurrent Novae	3	7
Relativistic Cosmology	3	7
Resolution	4	6
Roche Lobe Overflow	3	7
Roemer Delay	2	6
Rrats	2	7
S0 Galaxy	3	7
Satellite	4	9
Scaling Relations	3	7
Scattered Disk Objects	4	10
Schwarzschild Lens	3	7
Second	5	5
Secular Evolution	3	7
Self Gravitating Bodies	3	6
Self Gravitation	3	6
Sest	2	5
Shapiro Delay	2	7
Shells	3	6
Short Period Comets	3	7
Sidereal Day	4	6
Single Stellar Populations	3	7
Six Degree Field Galaxy Survey	2	6
Soft Gamma Repeater	2	7
Soft X-Ray Transient	2	7
Solar Cosmic Rays	3	7
Spectral Continuum	3	7
Spectral Line	4	7
Spectral Line Broadening	3	7
Spectral Line Profile	3	7
Speed	5	5
Speed of Light	8	8
Spin Flip Transition	3	7
Spiral Galaxy Formation	3	7
Square Kilometre Array	4	7
Standardised Candle Method for Snii	2	7
Stellar Black Hole	4	7
Stellar Jets	3	7
Stellar Luminosity Class	3	7
Stellar Populations of Globular Clusters	3	7
Steradian	3	5
Summation	3	5
Sun Grazing Comet	3	7
Superior Conjunction	3	6
Superior Planet	3	6
Supernova Classification	3	7
Supernova Gamma-Ray Burst Connection	2	7
Supernova Remnant Type	3	7
Supernova Search	3	7
Supernova Type Ib	3	8
Surface Brightness Profiles	3	7
Synchrotron Emission	3	7
Thales	3	5
Thermal Doppler Broadening	3	7
Tidal Tails	3	7
Time Average	3	5
Tired Light	3	7
Toomre Sequence	2	7
Transverse Velocity	3	6
Trigonometric Parallax	3	7
Tropic of Cancer	5	6
Tropical Year	4	6
Type Ia Supernova	4	8
Type Ia Supernova Explosion Mechanism	3	8
Type Ia Supernova Light Curves	3	8
Type Ia Supernova Progenitors	3	8
Type Ib Supernova Spectra	3	8
Type Ic Supernova	3	8
Type Ii Supernova	4	8
Type Ii Supernova Light Curves	3	8
Type Iin Supernova	3	8
Ultra High Energy Cosmic Rays	3	7
Upper Meridian	2	5
Van Den Bergh Luminosity Class	2	7
Very Large Array %28Vla%29	4	7
Very Long Baseline Array	3	7
Virgo Cluster	4	9
Virial Theorem	4	7
Virtual Image	4	5
Volume	5	5
Vsop	2	5
Waning Crescent Moon	5	6
Waning Gibbous Moon	5	6
Warm Intercloud Medium	2	7
Wave Equation	5	6
Wave Period	4	5
Wavelength	6	7
Waxing Crescent Moon	5	6
Waxing Gibbous Moon	5	6
Winding Problem	2	7
Wolf-Rayet Star	5	9
X-Ray Binary	4	8
X-Ray Burst	3	7
X-Ray Flash	2	7
X-Ray Halos	2	7
Xenophanes	2	5
Zurich Sunspot Number	3	6
Zz Ceti Stars	2	7
